Job,Company,City,Salary,Average_salary,Remote,Skills
DATA Engineer,PAYBACK,Warszawa,Undisclosed Salary,Not known,not fully remote,"Agile, SQL, "
Senior Data Engineer,Akamai Technologies,Kraków,19 000 - 20 000 pln,195000,Fully remote,"Python, Scala, Java, "
Senior Machine Learning Engineer,Tooploox,Wrocław,20 000 - 25 000 pln,225000,Fully remote,"Computer Vision, Machine Learning, Python, "
IPC Developer,Avenga,Warszawa,18 500 - 23 500 pln,210000,Fully remote,"SQL, Oracle DB, Informatica Powercenter, "
SQL Developer,Eracent,Warszawa,15 000 - 17 000 pln,160000,not fully remote,"SQL Server, TSQL, "
"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Google,Dublin,Undisclosed Salary,Not known,not fully remote,"Mandarin, Google App Engine, "
PL/SQL Developer,Connectis,Warszawa,20 000 - 25 000 pln,225000,Fully remote,"PL/SQL, SQL, Oracle APEX, "
"Senior Staff Software Engineer, Machine Learning, Google Cloud",Google,Warszawa,Undisclosed Salary,Not known,not fully remote,"Data Structures, ML, "
Azure Data Engineer,Link Group,Warszawa,18 500 - 24 500 pln,215000,Fully remote,"Datalake, SQL, Databricks, "
Oracle APEX Developer,Pretius,Warszawa,16 800 - 24 000 pln,204000,Fully remote,"Oracle ApplicationExpress, Oracle, Oracle DB, "
Junior Business Intelligence Developer ,Silky Coders,Gdańsk,Undisclosed Salary,Not known,not fully remote,"Git, Power BI, "
"Manager, Data Engineering & Analytics",WP Engine,Kraków,32 400 - 37 000 pln,347000,Fully remote,"Leadership, Data Science, Analytics, "
Database Engineer,VIER GmbH,Poznań,28 644 - 30 355 pln,294995,not fully remote,"Ansible, CockroachDB, "
Senior Site Reliability Specialist,Navblue,Gdańsk,Undisclosed Salary,Not known,not fully remote,"DNS, Cloud, "
Data Scientist,Harman Connected Services,Łódź,17 300 - 24 700 pln,210000,Fully remote,"Snowflake, Python, GitHub Actions, "
Data Solution Architect/Data Architect,Altimetrik Poland,Kraków,27 000 - 37 000 pln,320000,Fully remote,"Python, Data modeling, Data Architecture Design, "
Process Mining Consultant,Heineken,Kraków,Undisclosed Salary,Not known,not fully remote,"Business Intelligence, Databases, "
Data Engineer,Datumo,Poznań,14 000 - 25 000 pln,195000,Fully remote,"Big Data, Python, Cloud, "
Data Engineer (Senior/Principal),Addepto,Warszawa,21 000 - 31 920 pln,264600,Fully remote,"Big Data, Python, Data Integration, "
Data Scientist / ML Engineer,Addepto,Warszawa,14 280 - 28 560 pln,214200,Fully remote,"AI, NLP, Machine Learning, "
Senior Data Engineer (Cloud) ,ITDS,Warszawa,22 000 - 27 300 pln,246500,Fully remote,"SQL, Apache Airflow, GCP/AWS/AZURE, "
BI Team Leader,bolttech Poland Sp. z o.o.,Warszawa,Undisclosed Salary,Not known,not fully remote,"ETL, BI, "
Senior Software Engineer (Databricks),GetInData | Part of Xebia,Warszawa,27 720 - 35 280 pln,315000,Fully remote,"Java / Python / Scala, Databricks, "
Tableau Developer,C&F S.A.,Warszawa,Undisclosed Salary,Not known,Fully remote,"Analytical Thinking, Tableau, SQL, "
